project_name,name,code,is_active
AbbVie_EOL,EOL_,EOL_,TRUE
Acosta_ServiceDesk,ACST,ACST,TRUE
Affinia,AFFI,AFFI,TRUE
AiCure,AICU,AICU,TRUE
Alcoa,ALCA,ALCA,TRUE
Alcoa,ALCO,ALCO,TRUE
Alcoa_Bucharest,ALCB,ALCB,TRUE
Alcoa_Canada,ALCC,ALCC,TRUE
Alcoa_HR,ALCH,ALCH,TRUE
Alcoa_Scandinavia,ALCS,ALCS,TRUE
AlvarezMarsal,ALMA,ALMA,TRUE
Amcor,AMCR,AMCR,TRUE
Amcor_EMEA,AMCE,AMCE,TRUE
Apollo,APO_,APO_,TRUE
Arconic,ARCN,ARCN,TRUE
Arconic_NOA,ARNC,ARNC,TRUE
Aris_Global,ARIS,ARIS,TRUE
ArisGlobal,ARIS,ARIS,TRUE
Arrowhead,ARRO,ARRO,TRUE
Astellas,ASTE,ASTE,TRUE
AVID_PRO_Bucharest,APRO,APRO,TRUE
AVID_PRO_Manila,APRO,APRO,TRUE
BCG_Europe,BCGE,BCGE,TRUE
BCGA,BCGA,BCGA,TRUE
BioRad,BIRD,BIRD,TRUE
Braskem,BRSK,BRSK,TRUE
Brown_Forman,BRFN,BRFN,TRUE
Cambridge_Associates,CMBA,CMBA,TRUE
Cambridge_Cognition,CAMB,CAMB,TRUE
CCH_ServiceDesk,CCH_,CCH_,TRUE
CEC,CEC_,CEC_,TRUE
Centocor,CNTO,CNTO,TRUE
Ceva_Global_Service_Desk,CEVA,CEVA,TRUE
Chrysler,CHRY,CHRY,TRUE
Chrysler_HR,CHRY,CHRY,TRUE
Clariant,CLRT,CLRT,TRUE
Clinpal,CLPA,CLPA,TRUE
CLS_ServiceDesk,CLS_,CLS_,TRUE
CNH,CNH_,CNH_,TRUE
CNHI_EMEA,CNHI,CNHI,TRUE
CNHI_NAFTA,CNHI,CNHI,TRUE
Compressor_Controls_Corporation,CCC_,CCC_,TRUE
Covance,COVN,COVN,TRUE
CRF_Health,CRFH,CRFH,TRUE
Dana,DANA,DANA,TRUE
DeVry_Stefanini,DVRY,DVRY,TRUE
Duke,DUKE,DUKE,TRUE
Dunkin_Brands_Unified_Service_Desk,DBUS,DBUS,TRUE
Embraer,EMBR,EMBR,TRUE
Enel_Green_Power_NA,ENEL,ENEL,TRUE
eNett,ENET,ENET,TRUE
Epsilon,EPSI,EPSI,TRUE
Essilor,ESLR,ESLR,TRUE
EURID,EURI,EURI,TRUE
EuropCar,ECAR,ECAR,TRUE
Evoqua,EVOQ,EVOQ,TRUE
Expedia,EXPD,EXPD,TRUE
Ferro,FRRO,FRRO,TRUE
Firmenich,FIRM,FIRM,TRUE
Flexera_Software,FLEX,FLEX,TRUE
Ford,FORD,FORD,TRUE
Galileo_APAC,Gali,Gali,TRUE
Galileo_Brussels,Gali,Gali,TRUE
Galileo_Bucharest,Gali,Gali,TRUE
Galileo_EMEA,Gali,Gali,TRUE
Galileo_LATAM,Gali,Gali,TRUE
Galileo_Manila,Gali,Gali,TRUE
Galileo_Shanghai,Gali,Gali,TRUE
GAVI,GAVI,GAVI,TRUE
Goodman_Service_Desk,GMSD,GMSD,TRUE
Hanon,HANN,HANN,TRUE
Heinz,HENZ,HENZ,TRUE
Heinz_Bucharest,HENZ,HENZ,TRUE
Heinz_China,HENZ,HENZ,TRUE
Heinz_Manila,HENZ,HENZ,TRUE
Heinz_SaoPaolo,HENZ,HENZ,TRUE
Honda,HNDA,HNDA,TRUE
Huron_Consulting_Group,HURN,HURN,TRUE
IBO,IBO_,IBO_,TRUE
IBX,IBX_,IBX_,TRUE
Icon,ICON,ICON,TRUE
Infineum,INFI,INFI,TRUE
Invengo,INVG,INVG,TRUE
Jaguar_Land_Rover,JLR_,JLR_,TRUE
JDSD_China,JDSD,JDSD,TRUE
JDSD_Davenport,JDSD,JDSD,TRUE
JDSD_India,JDSD,JDSD,TRUE
JDSD_Mexico,JDSD,JDSD,TRUE
JDSD_NAM,JDSD,JDSD,TRUE
JDSD_Shanghai,JDSD,JDSD,TRUE
John_Deere,JDSD,JDSD,TRUE
Joy_Global,JOYG,JOYG,TRUE
KDS,KDS_,KDS_,TRUE
Koneo_Express_Support,KOEX,KOEX,TRUE
Kraft_Heinz,KHNZ,KHNZ,TRUE
Lakeside_Software,LAKE,LAKE,TRUE
Levi_Strauss_Europe_ServiceDesk,LSE_,LSE_,TRUE
LINDE,LIND,LIND,TRUE
Locomote,LOCO,LOCO,TRUE
Louis_Vuitton_North_America,LVNA,LVNA,TRUE
Lupus_Research_Institute,LRA_,LRA_,TRUE
MasterCard,MCRD,MCRD,TRUE
MAUD_Manila,MAUD,MAUD,TRUE
MAUD_Romania,MAUD,MAUD,TRUE
Medidata,MEDI,MEDI,TRUE
Merck,MRCK,MRCK,TRUE
Merck_Serono,MSER,MSER,TRUE
Miele_and_Cie,MIEL,MIEL,TRUE
mProve,MPRO,MPRO,TRUE
MSC,MSC_,MSC_,TRUE
NBA_Service_Desk,NBA_,NBA_,TRUE
NCAA,NCAA,NCAA,TRUE
Nexans_Service_Desk,NEXA,NEXA,TRUE
Nike_Service_Desk,NIKE,NIKE,TRUE
