parent_project,record_date,language,calls_off,calls_ans,calls_ans30,calls_abn,calls_abn30,time_talk,time_hold,time_wrap,queue_ans,queue_max
Acosta_ServiceDesk,2017-May-01,English,824,690,250,123,22,533606,16813,78961,342994,4379
Acosta_ServiceDesk,2017-May-01,French,10,8,0,2,0,9733,1049,891,21977,6007
Acosta_ServiceDesk,2017-May-02,English,533,521,385,12,6,417700,15315,57075,21565,453
Acosta_ServiceDesk,2017-May-02,French,11,6,1,5,0,2336,468,815,5112,3017
Acosta_ServiceDesk,2017-May-03,English,519,505,353,14,4,374687,14837,56758,21685,437
Acosta_ServiceDesk,2017-May-03,French,9,7,2,1,0,8810,1241,624,5353,2055
Acosta_ServiceDesk,2017-May-04,English,528,506,318,20,3,386117,16367,60177,42185,890
Acosta_ServiceDesk,2017-May-04,French,3,1,0,1,0,1196,331,166,65,198
Acosta_ServiceDesk,2017-May-05,English,369,360,321,9,8,297739,9976,37620,7561,608
Acosta_ServiceDesk,2017-May-05,French,3,3,1,0,0,1561,676,297,2041,1984
Acosta_ServiceDesk,2017-May-06,English,64,60,47,4,1,36779,588,5374,8844,1618
Acosta_ServiceDesk,2017-May-07,English,91,87,70,3,1,79713,870,6222,5748,1370
Acosta_ServiceDesk,2017-May-08,English,554,529,381,24,12,440369,13510,54577,23159,682
Acosta_ServiceDesk,2017-May-08,French,8,6,3,1,0,3347,164,421,1112,568
Acosta_ServiceDesk,2017-May-09,English,490,481,369,8,2,359803,13331,49275,15878,828
Acosta_ServiceDesk,2017-May-09,French,1,0,0,1,0,0,0,0,0,687
Acosta_ServiceDesk,2017-May-10,English,531,508,366,20,11,343908,13754,51623,29807,631
Acosta_ServiceDesk,2017-May-10,French,7,6,1,0,0,3679,166,591,2938,1125
Acosta_ServiceDesk,2017-May-11,English,426,414,332,11,8,320418,8771,41745,14193,826
Acosta_ServiceDesk,2017-May-11,French,11,10,3,1,0,12393,1936,1254,10513,4595
Acosta_ServiceDesk,2017-May-12,English,345,338,275,7,4,269121,7336,38434,7546,269
Acosta_ServiceDesk,2017-May-12,French,5,2,1,3,0,3652,423,278,41,1444
Acosta_ServiceDesk,2017-May-13,English,84,84,79,0,0,46301,1176,6403,1450,343
Acosta_ServiceDesk,2017-May-14,English,86,83,72,3,0,66245,87,6307,3434,699
Acosta_ServiceDesk,2017-May-15,English,601,572,470,27,9,461988,16779,59695,17533,852
Acosta_ServiceDesk,2017-May-15,French,3,3,2,0,0,2450,707,439,1114,1084
Acosta_ServiceDesk,2017-May-16,English,515,504,425,9,4,373301,15922,51884,13447,967
Acosta_ServiceDesk,2017-May-16,French,4,4,3,0,0,3568,775,511,422,397
Acosta_ServiceDesk,2017-May-17,English,520,499,323,20,7,364757,13294,50274,33138,655
Acosta_ServiceDesk,2017-May-17,French,4,4,2,0,0,1821,610,188,1497,849
Acosta_ServiceDesk,2017-May-18,English,410,400,321,9,5,309121,12370,43792,14528,666
Acosta_ServiceDesk,2017-May-18,French,3,3,2,0,0,5429,1363,568,680,654
Acosta_ServiceDesk,2017-May-19,English,396,380,297,14,8,301504,14566,37957,16168,1218
Acosta_ServiceDesk,2017-May-19,French,6,5,0,1,0,9303,2861,829,3751,1926
Alcoa Europe,2017-May-01,English,34,32,28,2,2,20708,0,960,614,143
Alcoa Europe,2017-May-01,French,109,105,101,4,3,38121,0,3266,1669,371
Alcoa Europe,2017-May-01,Hungarian,15,12,8,3,2,4398,0,396,620,191
Alcoa Europe,2017-May-01,Spanish,0,0,0,0,0,0,0,0,0,0
Alcoa Europe,2017-May-02,English,65,61,57,4,0,30341,0,1688,1400,530
Alcoa Europe,2017-May-02,French,148,144,140,4,1,51546,0,4404,1288,75
Alcoa Europe,2017-May-02,German,14,14,14,0,0,9178,0,412,104,10
Alcoa Europe,2017-May-02,Hungarian,76,76,70,0,0,35870,0,2734,1278,305
Alcoa Europe,2017-May-02,Italian,12,6,4,6,0,8010,0,146,1544,867
Alcoa Europe,2017-May-02,Norwegian,20,18,16,2,2,3562,0,150,190,45
Alcoa Europe,2017-May-02,Spanish,54,48,42,6,0,29484,0,1484,1706,481
Alcoa Europe,2017-May-03,English,72,70,70,2,2,38538,0,1988,491,16
Alcoa Europe,2017-May-03,French,78,78,78,0,0,30833,0,2342,586,13
Alcoa Europe,2017-May-03,German,8,4,4,4,0,2294,0,62,34,91
Alcoa Europe,2017-May-03,Hungarian,40,38,36,2,0,19844,0,1436,710,186
Alcoa Europe,2017-May-03,Italian,2,2,2,0,0,608,0,10,10,5
Alcoa Europe,2017-May-03,Norwegian,6,6,6,0,0,1776,0,96,26,5
Alcoa Europe,2017-May-03,Spanish,28,28,26,0,0,9868,0,900,304,59
Alcoa Europe,2017-May-04,English,75,71,71,4,4,25765,0,1820,477,14
Alcoa Europe,2017-May-04,French,111,101,97,10,6,48494,0,3026,2091,617
Alcoa Europe,2017-May-04,German,4,4,4,0,0,4948,0,140,44,11
Alcoa Europe,2017-May-04,Hungarian,56,56,56,0,0,32238,0,2022,436,14
Alcoa Europe,2017-May-04,Italian,14,14,10,0,0,7594,0,156,836,263
Alcoa Europe,2017-May-04,Norwegian,8,8,8,0,0,1626,0,52,30,4
Alcoa Europe,2017-May-04,Spanish,30,28,28,2,2,9416,0,940,192,11
Alcoa Europe,2017-May-05,English,53,53,51,0,0,15201,0,1422,570,106
Alcoa Europe,2017-May-05,French,92,86,82,6,2,41624,0,2580,728,130
Alcoa Europe,2017-May-05,German,28,16,14,12,2,8556,0,520,476,638
Alcoa Europe,2017-May-05,Hungarian,52,52,48,0,0,18792,0,2006,876,186
Alcoa Europe,2017-May-05,Italian,8,8,8,0,0,1952,0,166,64,11
Alcoa Europe,2017-May-05,Norwegian,8,8,8,0,0,2580,0,156,88,14
Alcoa Europe,2017-May-05,Spanish,34,28,24,6,2,8444,0,1140,2198,852
Alcoa Europe,2017-May-06,English,13,9,5,4,2,4169,0,246,2152,564
Alcoa Europe,2017-May-06,Hungarian,16,10,10,6,0,4616,0,400,58,130
Alcoa Europe,2017-May-06,Italian,0,0,0,0,0,0,0,0,0,0
Alcoa Europe,2017-May-06,Spanish,0,0,0,0,0,0,0,0,0,0
Alcoa Europe,2017-May-07,English,10,6,4,4,0,818,0,200,912,441
Alcoa Europe,2017-May-07,French,0,0,0,0,0,0,0,0,0,0
Alcoa Europe,2017-May-07,German,0,0,0,0,0,0,0,0,0,0
Alcoa Europe,2017-May-07,Hungarian,3,3,2,0,0,690,0,57,128,118
Alcoa Europe,2017-May-07,Spanish,0,0,0,0,0,0,0,0,0,0
Alcoa Europe,2017-May-08,English,83,81,75,2,2,31985,0,2042,895,77
Alcoa Europe,2017-May-08,French,101,99,97,2,0,54133,0,3012,779,713
Alcoa Europe,2017-May-08,German,12,12,12,0,0,2022,0,332,110,15
Alcoa Europe,2017-May-08,Hungarian,138,118,107,20,2,49833,0,4349,4270,1371
Alcoa Europe,2017-May-08,Italian,14,8,6,6,2,4602,0,92,310,192
Alcoa Europe,2017-May-08,Norwegian,16,14,14,2,0,3108,0,216,74,81
Alcoa Europe,2017-May-08,Spanish,24,24,22,0,0,7120,0,840,510,189
Alcoa Europe,2017-May-09,English,71,69,68,2,2,28157,0,1614,1205,658
Alcoa Europe,2017-May-09,French,162,158,150,4,4,68903,0,4746,1721,91
Alcoa Europe,2017-May-09,German,6,6,6,0,0,3246,0,138,48,11
Alcoa Europe,2017-May-09,Hungarian,79,75,73,4,2,41941,0,2560,760,101
Alcoa Europe,2017-May-09,Norwegian,22,22,20,0,0,4208,0,192,172,42
Alcoa Europe,2017-May-09,Spanish,38,38,38,0,0,16730,0,1320,290,15
Alcoa Europe,2017-May-10,English,64,60,59,4,4,26560,0,1466,1108,658
Alcoa Europe,2017-May-10,French,91,91,91,0,0,35680,0,2684,676,14
Alcoa Europe,2017-May-10,German,2,2,2,0,0,1532,0,60,16,8
Alcoa Europe,2017-May-10,Hungarian,70,68,64,2,2,37110,0,2496,760,52
Alcoa Europe,2017-May-10,Italian,4,4,4,0,0,2786,0,20,22,6
Alcoa Europe,2017-May-10,Norwegian,6,6,6,0,0,2456,0,82,28,8
Alcoa Europe,2017-May-10,Spanish,40,40,36,0,0,20066,0,1300,1082,284
Alcoa Europe,2017-May-11,English,40,38,38,2,2,16170,0,1160,244,12
Alcoa Europe,2017-May-11,French,97,97,97,0,0,29584,0,2918,736,18
Alcoa Europe,2017-May-11,Hungarian,42,40,40,2,2,29740,0,1316,362,16
Alcoa Europe,2017-May-11,Italian,6,4,4,2,0,1996,0,62,16,114
Alcoa Europe,2017-May-11,Norwegian,10,10,10,0,0,2930,0,94,40,10
