parent_project,project_name,is_active
Acosta_ServiceDesk,Acosta_ServiceDesk,TRUE
Affinia,Affinia,TRUE
Alcoa Europe,Alcoa_Bucharest,TRUE
Alcoa Europe,Alcoa_Canada,TRUE
Alcoa Europe,Alcoa_Scandinavia,TRUE
Alcoa Europe,Arconic,TRUE
Alcoa NOA,Alcoa,TRUE
Alcoa NOA,Alcoa_HR,TRUE
Alcoa NOA,Arconic_NOA,TRUE
AlvarezMarsal,AlvarezMarsal,TRUE
Amcor,Amcor,TRUE
Amcor,Amcor_EMEA,TRUE
AVID,MAUD_Manila,TRUE
AVID,MAUD_Romania,TRUE
AVID,Pinnacle,TRUE
AVID PRO,AVID_PRO_Bucharest,TRUE
AVID PRO,AVID_PRO_Manila,TRUE
BCG Europe,BCG_Europe,TRUE
BCGA,BCGA,TRUE
Bio-Rad Global,BioRad,TRUE
Brown-Forman,Brown_Forman,TRUE
Cambridge_Associates,Cambridge_Associates,TRUE
Career Education Corporation,CEC,TRUE
CCH_ServiceDesk,CCH_ServiceDesk,TRUE
Ceva_Global_Service_Desk,Ceva_Global_Service_Desk,TRUE
Clariant Service Desk,Clariant,TRUE
CLS ServiceDesk,CLS_ServiceDesk,TRUE
CNH,CNH,TRUE
CNHI_EMEA,CNHI_EMEA,TRUE
CNHI_NAFTA,CNHI_NAFTA,TRUE
Covance,Covance,TRUE
Dana,Dana,TRUE
DeVry_Stefanini,DeVry_Stefanini,TRUE
Duke,Duke,TRUE
Dunkin Brands Unified Service Desk,Dunkin_Brands_Unified_Service_Desk,TRUE
Embraer,Embraer,TRUE
Enel Green Power,Enel_Green_Power_NA,TRUE
eNett,eNett,TRUE
Epsilon,Epsilon,TRUE
Essilor,Essilor,TRUE
EuropCar,EuropCar,TRUE
EVOQUA_ServiceDesk,Evoqua,TRUE
Ferro,Ferro,TRUE
Firmenich,Firmenich,TRUE
Flexera,Flexera_Software,TRUE
Ford,Ford,TRUE
Goodman Service Desk,Goodman_Service_Desk,TRUE
Hanon,Hanon,TRUE
Heinz,Heinz,TRUE
Heinz,Heinz_Bucharest,TRUE
Heinz,Heinz_China,TRUE
Heinz,Heinz_Manila,TRUE
Heinz,Heinz_SaoPaolo,TRUE
Heinz,Kraft_Heinz,TRUE
Honda,Honda,TRUE
Huron Consulting Group,Huron_Consulting_Group,TRUE
Infineum,Infineum,TRUE
ITSS,AbbVie_EOL,TRUE
ITSS,Braskem,TRUE
ITSS,Chrysler,TRUE
ITSS,EURID,TRUE
ITSS,GAVI,TRUE
ITSS,IBO,TRUE
ITSS,IBX,TRUE
ITSS,Invengo,TRUE
ITSS,Koneo_Express_Support,TRUE
ITSS,MSC,TRUE
ITSS,Outokumpu_Service_Desk,TRUE
